股票代號,股票名稱,價格,張數
2330,台積電          ,93000.00,1362
2330,台積電          ,93000.00,1363
2330,台積電          ,93000.00,1364
2330,台積電          ,93000.00,1365
2330,台積電          ,93000.00,1365
2330,台積電          ,93000.00,1365
2330,台積電          ,93000.00,1365
2330,台積電          ,93000.00,1365
2330,台積電          ,93000.00,1365
2330,台積電          ,93000.00,1365
2330,台積電          ,93000.00,1365
2330,台積電          ,93000.00,1365
2330,台積電          ,93000.00,1365
2330,台積電          ,93000.00,1365
2330,台積電          ,93000.00,1365
2330,台積電          ,93000.00,1365
2330,台積電          ,93000.00,1362
2330,台積電          ,93000.00,1362
2330,台積電          ,93000.00,1362
2330,台積電          ,93000.00,1362
2330,台積電          ,93000.00,1362
2330,台積電          ,93100.00,1363
2330,台積電          ,93100.00,1363
2330,台積電          ,93100.00,1363
2330,台積電          ,93100.00,1363
2330,台積電          ,93100.00,1363
2330,台積電          ,93100.00,1363
2330,台積電          ,93000.00,1362
2330,台積電          ,93000.00,1362
2330,台積電          ,93000.00,1362
2330,台積電          ,93000.00,1362
2330,台積電          ,93000.00,1362
2330,台積電          ,93000.00,1362
2330,台積電          ,93000.00,1363
2330,台積電          ,93000.00,1363
2330,台積電          ,93000.00,1363
2330,台積電          ,93000.00,1363
2330,台積電          ,93000.00,1363
2330,台積電          ,93000.00,1363
2330,台積電          ,93000.00,1363
2330,台積電          ,93000.00,1364
2330,台積電          ,93000.00,1364
2330,台積電          ,93100.00,1381
2330,台積電          ,93200.00,1381
2330,台積電          ,93200.00,1381
2330,台積電          ,93200.00,1381
2330,台積電          ,93200.00,1381
2330,台積電          ,93200.00,1381
2330,台積電          ,93200.00,1398
2330,台積電          ,93100.00,1398
2330,台積電          ,90100.00,2974
2330,台積電          ,90500.00,3118
2330,台積電          ,90700.00,3135
2330,台積電          ,90800.00,3135
2330,台積電          ,90800.00,3135
2330,台積電          ,90800.00,3135
2330,台積電          ,90800.00,3135
2330,台積電          ,90800.00,3135
2330,台積電          ,91000.00,3135
2330,台積電          ,85500.00,3989
2330,台積電          ,85500.00,3994
2330,台積電          ,85500.00,4009
2330,台積電          ,85500.00,4116
2330,台積電          ,85500.00,4150
2330,台積電          ,85500.00,4180
2330,台積電          ,85500.00,4221
2330,台積電          ,85500.00,4268
2330,台積電          ,85500.00,4263
2330,台積電          ,85500.00,4294
2330,台積電          ,85500.00,4319
2330,台積電          ,85500.00,4363
2330,台積電          ,85500.00,4396
2330,台積電          ,85500.00,4437
2330,台積電          ,85500.00,4505
2330,台積電          ,85500.00,4560
2330,台積電          ,85500.00,4658
2330,台積電          ,85500.00,4700
2330,台積電          ,85500.00,4734
2330,台積電          ,85500.00,4764
2330,台積電          ,85500.00,4786
2330,台積電          ,85500.00,4829
2330,台積電          ,85500.00,4957
2330,台積電          ,85500.00,5013
2330,台積電          ,85500.00,5065
2330,台積電          ,85500.00,5157
